pool,eventTitle,eventBody,choiceLabel,choiceDesc,choiceCost,choiceMedical,effect_hunger,effect_energy,effect_comfort,effect_security,effect_health,effect_development
newborn,脐带红肿,"脐带周围有点红，宝宝一碰就哭。",酒精消毒并保持干燥,"免费，健康 +2",0,false,,,,,2,
newborn,脐带红肿,"脐带周围有点红，宝宝一碰就哭。",买药膏并观察,"-200 元，健康 +4",200,true,,,,,4,
newborn,脐带红肿,"脐带周围有点红，宝宝一碰就哭。",多洗澡冲干净,"错误，健康 -4",0,false,,,,,-4,
newborn,吐奶呛奶,"刚喂完奶后突然吐奶，呼吸有些急。",侧身清理并拍嗝,"舒适 +8，健康 +2",0,false,,,8,,2,
newborn,吐奶呛奶,"刚喂完奶后突然吐奶，呼吸有些急。",立刻去医院检查,"-800 元，健康 +6",800,true,,,,,6,
newborn,吐奶呛奶,"刚喂完奶后突然吐奶，呼吸有些急。",继续平躺观察,"错误，健康 -7",0,false,,,,,-7,
sleep,肠绞痛爆发,"傍晚开始长时间哭闹，抱着也很难安静。",飞机抱和拍嗝,"舒适 +10，安全 +5",0,false,,,10,5,,
sleep,肠绞痛爆发,"傍晚开始长时间哭闹，抱着也很难安静。",儿科问诊,"-500 元，健康 +4",500,true,,,,,4,
sleep,肠绞痛爆发,"傍晚开始长时间哭闹，抱着也很难安静。",强行喂奶压住哭声,"错误，饱腹 +3，舒适 -8",0,false,3,,-8,,,
sleep,厌奶期,"宝宝突然不愿意好好吃奶。",少量多次喂养,"饱腹 +8，安全 +3",0,false,8,,,,3,,
sleep,厌奶期,"宝宝突然不愿意好好吃奶。",检查口腔和精神状态,"-300 元，健康 +3",300,true,,,,,3,
sleep,厌奶期,"宝宝突然不愿意好好吃奶。",硬喂到喝完,"错误，安全 -8，舒适 -5",0,false,,,,-8,,
teething,出牙发烧,"体温升高，牙龈红肿，睡不踏实。",物理降温并补水,"舒适 +10",0,false,,,10,,,
teething,出牙发烧,"体温升高，牙龈红肿，睡不踏实。",看医生确认,"-500 元，健康 +5",500,true,,,,,5,
teething,出牙发烧,"体温升高，牙龈红肿，睡不踏实。",自行喂成人药,"错误，健康 -6",0,false,,,,,-6,
teething,辅食过敏,"新食材后出现皮疹和烦躁。",停止新食材并记录,"健康 +2，舒适 +3",0,false,,,3,,2,
teething,辅食过敏,"新食材后出现皮疹和烦躁。",过敏门诊,"-900 元，健康 +6",900,true,,,,,6,
teething,辅食过敏,"新食材后出现皮疹和烦躁。",继续喂看能否适应,"错误，健康 -8",0,false,,,,,-8,
anxiety,跌落受伤,"宝宝从低矮处翻落，哭得很厉害。",观察意识和活动,"健康 +1，安全 +2",0,false,,,,2,1,
anxiety,跌落受伤,"宝宝从低矮处翻落，哭得很厉害。",去医院排查,"-1000 元，健康 +7",1000,true,,,,,7,
anxiety,跌落受伤,"宝宝从低矮处翻落，哭得很厉害。",哄一哄继续玩,"错误，健康 -8",0,false,,,,,-8,
anxiety,异物入口,"宝宝把小物件塞进嘴里。",冷静取出并清理环境,"安全 +4，健康 +2",0,false,,,,4,2,
anxiety,异物入口,"宝宝把小物件塞进嘴里。",急诊确认,"-700 元，健康 +5",700,true,,,,,5,
anxiety,异物入口,"宝宝把小物件塞进嘴里。",用手深挖,"错误，健康 -6，舒适 -5",0,false,,,-5,,-6,
toddler,摔伤磕碰,"练站时磕到额头，出现明显红肿。",冷敷观察,"舒适 +6，健康 +2",0,false,,,6,,2,
toddler,摔伤磕碰,"练站时磕到额头，出现明显红肿。",就医检查,"-600 元，健康 +5",600,true,,,,,5,
toddler,摔伤磕碰,"练站时磕到额头，出现明显红肿。",揉开淤青,"错误，健康 -4",0,false,,,,,-4,
toddler,挑食爆发,"今天看到勺子就扭头，奶量也下降。",换质地少量尝试,"饱腹 +8，发育 +1",0,false,8,,,,,1
toddler,挑食爆发,"今天看到勺子就扭头，奶量也下降。",营养咨询,"-400 元，健康 +3",400,true,,,,,3,
toddler,挑食爆发,"今天看到勺子就扭头，奶量也下降。",追着喂完,"错误，安全 -7",0,false,,,,-7,,
